slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
alembic-distillery,Alembic Distillery,Japan,nta-seizo-menkyo,5220001022974,株式会社Alembic,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年7月1日, office 金沢, site 金沢市大野町4丁目ハ17番; trading name '株式会社Alembic'"
blue-rabbit-distillery,Blue Rabbit Distillery,Japan,nta-seizo-menkyo,7010803003530,合同会社Blue Rabbit Distillery,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年5月12日, office 雪谷, site 大田区田園調布本町57番2号 大野ビル1階; trading name 'Blue Rabbit Distillery'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,,株式会社出羽,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h26 list: 酒類 その他の醸造酒 法人成り等 41883, office 酒田, site 酒田市両羽町5番地の4; trading name ''"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 ウイスキー 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 リキュール 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 ウイスキー 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 スピリッツ 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
dewa-distillery,出羽蒸留所／DEWA Distillery,Japan,nta-seizo-menkyo,8390001016635,出羽蒸留所株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r04 list: 酒類 リキュール 新規 令和4年10月7日, office 長井, site 西置賜郡小国町大字小国小坂町40番地1; trading name '出羽蒸留所株式会社'"
di-tripper-distillery,Di Tripper distillery ディ・トリッパー蒸留所,Japan,nta-seizo-menkyo,3420003002188,ビハインド・ザ・カスク合同会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r05 list: 酒類 ウイスキー 新規 令和5年11月16日, office 函館, site 函館市元町31番20号; trading name 'ディ・トリッパー蒸留所'"
di-tripper-distillery,Di Tripper distillery ディ・トリッパー蒸留所,Japan,nta-seizo-menkyo,3420003002188,ビハインド・ザ・カスク合同会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"r05 list: 酒類 ウイスキー 新規 令和5年11月16日, office 函館, site 函館市元町31番20号; trading name 'ディ・トリッパー蒸留所'"
distillery-japan,ガイアフロー静岡蒸溜所,Japan,nta-seizo-menkyo,6080001019910,ガイアフローディスティリング株式会社,self,licence-name,high,,https://www.nta.go.jp/taxes/sake/menkyo/shinki/seizo/02/zenkoku.htm,"h28 list: 酒類 ウイスキー 新規 42641, office 静岡, site 静岡市葵区落合555番地; trading name 'ガイアフロー静岡蒸溜所'"
